job_id,estimator,output_family,is_public_job,release1_scope,sample_policy,readiness_status,estimated_rows_written,publication_risk_flags,warning_rows,weak_instrument_rows,adaptive_control_rows,small_sample_rows,final_sample_observations,release_channel,contract_tier,contract_reason,design_manifest_path,estimation_summary_path
tdc_lpiv_deposits_qra_bank_absorption,lp_iv,headline_identified,True,deferred,,ready_for_estimation,10,weak_instrument,10,10,0,0,64,deferred,deferred_development,deferred_weak_instrument,output/manifests/tdc_lpiv_deposits_qra_bank_absorption__design_manifest.json,output/manifests/tdc_lpiv_deposits_qra_bank_absorption__estimation_summary.json
tdc_lpiv_deposits_qra_ru_gap,lp_iv,headline_identified,True,deferred,,ready_for_estimation,10,weak_instrument,10,10,0,0,64,deferred,deferred_development,deferred_weak_instrument,output/manifests/tdc_lpiv_deposits_qra_ru_gap__design_manifest.json,output/manifests/tdc_lpiv_deposits_qra_ru_gap__estimation_summary.json
baseline_tdc_lp_funding,lp,supporting_descriptive,True,committed,,ready_for_estimation,8,,0,0,0,0,93,sidecar,exploratory_sidecar,descriptive_or_exploratory_sample,output/manifests/baseline_tdc_lp_funding__design_manifest.json,output/manifests/baseline_tdc_lp_funding__estimation_summary.json
qra_event_rates_63bd,event_lp,supporting_descriptive,True,committed,reviewed_nonmissing,ready_for_estimation,20,,0,0,0,0,14,sidecar,exploratory_sidecar,descriptive_or_exploratory_sample,output/manifests/qra_event_rates_63bd__design_manifest.json,output/manifests/qra_event_rates_63bd__estimation_summary.json
qra_event_rates_63bd_expanded_descriptive,event_lp,supporting_descriptive,False,committed,reviewed_nonmissing,ready_for_estimation,20,,0,0,0,0,14,sidecar,exploratory_sidecar,descriptive_or_exploratory_sample,output/manifests/qra_event_rates_63bd_expanded_descriptive__design_manifest.json,output/manifests/qra_event_rates_63bd_expanded_descriptive__estimation_summary.json
qra_event_risk_21bd,event_lp,supporting_descriptive,True,committed,reviewed_nonmissing,ready_for_estimation,18,,0,0,0,0,14,sidecar,exploratory_sidecar,descriptive_or_exploratory_sample,output/manifests/qra_event_risk_21bd__design_manifest.json,output/manifests/qra_event_risk_21bd__estimation_summary.json
qra_event_risk_21bd_expanded_descriptive,event_lp,supporting_descriptive,False,committed,reviewed_nonmissing,ready_for_estimation,18,,0,0,0,0,14,sidecar,exploratory_sidecar,descriptive_or_exploratory_sample,output/manifests/qra_event_risk_21bd_expanded_descriptive__design_manifest.json,output/manifests/qra_event_risk_21bd_expanded_descriptive__estimation_summary.json
baseline_tdc_lp_credit_spreads,lp,supporting_reduced_form,True,committed,,ready_for_estimation,15,,0,0,0,0,93,appendix,release1_appendix_candidate,clean_supporting_reduced_form,output/manifests/baseline_tdc_lp_credit_spreads__design_manifest.json,output/manifests/baseline_tdc_lp_credit_spreads__estimation_summary.json
tdc_state_dep_low_reserves,lp,supporting_reduced_form,True,committed,,ready_for_estimation,8,,0,0,0,0,73,appendix,release1_appendix_candidate,clean_supporting_reduced_form,output/manifests/tdc_state_dep_low_reserves__design_manifest.json,output/manifests/tdc_state_dep_low_reserves__estimation_summary.json
baseline_tdc_lp_deposits,lp,headline_identified,True,committed,,ready_for_estimation,10,,0,0,0,0,93,main_text,release1_main_candidate,clean_headline_identified,output/manifests/baseline_tdc_lp_deposits__design_manifest.json,output/manifests/baseline_tdc_lp_deposits__estimation_summary.json
